budget,sample_id,uncertainty,normalized_uncertainty,rank,in_shortlist,selected
429,1283,0.8940191546632427,0.10068644383209598,3151,False,False
429,1284,2.2494888115438205,0.253342478953653,1087,False,False
429,1285,1.9945621049974156,0.22463206107714315,1418,False,False
429,1287,0.5206018100143348,0.05863134433919412,3654,False,False
429,1288,0.8553029867555724,0.0963261421035519,3213,False,False
429,1289,0.6518328978842556,0.07341088400444519,3524,False,False
429,1290,2.212031913379705,0.24912399901007018,1140,False,False
429,1291,0.5496541031070593,0.06190327879542626,3618,False,False
429,1292,1.4065214550412317,0.1584056032166236,2253,False,False
429,1294,1.102397312266749,0.12415445964802568,2802,False,False
429,1295,2.3265403295370928,0.26202019385287084,1016,False,False
429,1296,2.9429710955726818,0.33144401030812026,549,True,False
429,1297,2.013878759189422,0.22680754602864855,1389,False,False
429,1298,1.7081108673092638,0.19237127974635998,1778,False,False
